epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9914,1.80719,7.08355,1.05978,0,0,0,0,1.56176,6.07066,0.89881,5.44296e-05,5.44296e-05,5.44296e-05
2,44.3411,1.65044,5.75893,0.95464,0.01562,0.05035,0.02305,0.01538,1.51631,5.23667,0.88273,9.91968e-05,9.91968e-05,9.91968e-05
3,54.3907,1.61903,5.04569,0.90941,0.57035,0.04635,0.05315,0.03499,1.58933,4.40224,0.89465,0.000132942,0.000132942,0.000132942
4,64.581,1.56259,4.46104,0.90531,0.56019,0.0981,0.08111,0.05663,1.4843,3.84558,0.88843,0.000117401,0.000117401,0.000117401
5,74.6721,1.4758,4.12905,0.87923,0.60692,0.10682,0.10135,0.06706,1.4317,3.479,0.8818,0.000100868,0.000100868,0.000100868
6,84.6931,1.49157,3.95343,0.88171,0.52494,0.13158,0.11686,0.07835,1.39816,3.22502,0.87565,8.4335e-05,8.4335e-05,8.4335e-05
7,94.8943,1.37852,3.51626,0.86228,0.6159,0.13611,0.14281,0.09623,1.38352,3.05396,0.87384,6.7802e-05,6.7802e-05,6.7802e-05
8,105.094,1.37051,3.42563,0.86886,0.68889,0.13526,0.15168,0.10369,1.33952,2.946,0.86792,5.1269e-05,5.1269e-05,5.1269e-05
9,115.174,1.37347,3.39327,0.87503,0.62638,0.15491,0.15965,0.10856,1.32417,2.88417,0.86654,3.4736e-05,3.4736e-05,3.4736e-05
10,125.414,1.32907,3.25445,0.87297,0.65709,0.16892,0.17654,0.11942,1.30563,2.82417,0.86509,1.8203e-05,1.8203e-05,1.8203e-05
