epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4381,0.59591,7.20134,0.4079,0,0,0,0,1.8731,4.98796,0.62268,0,0,0
2,12.6575,4.19642,10.5331,1.06575,0,0,0,0,1.87177,5.01496,0.62333,1.50467e-06,1.50467e-06,1.50467e-06
3,13.1121,1.04984,7.69189,0.32934,0,0,0,0,1.87093,5.02889,0.62367,2.67868e-06,2.67868e-06,2.67868e-06
4,13.5477,1.55789,8.09647,0.44978,0,0,0,0,1.87034,5.03772,0.62274,3.52203e-06,3.52203e-06,3.52203e-06
5,13.9526,0.87096,7.48643,0.2632,0,0,0,0,1.86907,5.05535,0.62325,4.03472e-06,4.03472e-06,4.03472e-06
6,14.3617,0.73015,11.6196,0.79521,0,0,0,0,1.86667,5.08418,0.62464,4.21675e-06,4.21675e-06,4.21675e-06
7,14.7682,3.15279,11.5267,1.06811,0,0,0,0,1.86422,5.10953,0.62553,4.06812e-06,4.06812e-06,4.06812e-06
8,15.1739,2.26283,10.2076,0.78576,0,0,0,0,1.86122,5.13682,0.62738,3.58883e-06,3.58883e-06,3.58883e-06
9,15.587,3.03671,9.73904,1.00249,0,0,0,0,1.85854,5.15887,0.62824,2.77888e-06,2.77888e-06,2.77888e-06
10,15.9851,3.17728,10.1773,0.84714,0,0,0,0,1.85685,5.17164,0.62884,1.63827e-06,1.63827e-06,1.63827e-06
