epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1469,1.79906,6.47049,1.06517,0,0,0,0,1.53334,6.08607,0.9023,5.44296e-05,5.44296e-05,5.44296e-05
2,24.1379,1.64252,5.51047,0.93795,0.01744,0.04775,0.02379,0.01742,1.42731,5.3195,0.88468,8.82972e-05,8.82972e-05,8.82972e-05
3,34.4175,1.61546,4.74922,0.90209,0.4942,0.03591,0.05072,0.03707,1.44747,4.46005,0.88281,0.000100121,0.000100121,0.000100121
4,44.4822,1.59788,4.31753,0.9062,0.54803,0.05872,0.07047,0.05036,1.45993,3.96049,0.88224,6.7802e-05,6.7802e-05,6.7802e-05
5,54.5335,1.61384,4.04262,0.9079,0.59939,0.06751,0.07948,0.05713,1.41459,3.76048,0.88209,3.4736e-05,3.4736e-05,3.4736e-05
